bowler_name,runs_scored
DW Steyn,0
RJ Harris,0
R Sharma,0
Umar Gul,0
S Nadeem,0
P Kumar,0
B Lee,0
B Kumar,0
M de Lange,0
SR Watson,0
DS Kulkarni,0
MM Patel,0
WD Parnell,0
JP Faulkner,0
A Mishra,0
AC Thomas,0
SP Narine,0
SM Pollock,0
S Kaul,0
Sohail Tanvir,0
AR Patel,0
KH Pandya,0
JW Hastings,0
RP Singh,0
JA Morkel,0
A Singh,0
AN Ahmed,0
SK Raina,0
IK Pathan,0
S Sreesanth,0
M Ntini,0
SK Warne,0
M Kartik,0
RE van der Merwe,0
S Ladda,0
R Bhatia,0
AC Gilchrist,0
D du Preez,0
SW Tait,0
NM Coulter-Nile,0
JH Kallis,0
SB Bangar,0
AB Dinda,0
JP Duminy,0
SL Malinga,0
P Awana,0
TG Southee,0
Mustafizur Rahman,0
Z Khan,0
PP Chawla,0
RR Raje,0
R Ashwin,0
MR Marsh,0
A Nehra,0
MS Gony,0
FH Edwards,0
RV Gomez,0
RA Jadeja,0
R Vinay Kumar,0
SE Bond,0
R Dhawan,0
GB Hogg,0
Harbhajan Singh,0
SB Jakati,0
SJ Srivastava,0
L Balaji,0
JJ Bumrah,0
LR Shukla,0
JD Ryder,0
DE Bollinger,0
YS Chahal,0
BB Sran,0
DJ Bravo,0
GD McGrath,0
YK Pathan,0
A Kumble,0
S Tyagi,0
KK Cooper,0
SMSM Senanayake,0
SK Trivedi,0
I Sharma,0
DP Nannes,0
SB Wagh,0
IC Pandey,0
UT Yadav,0
NLTC Perera,0
Sandeep Sharma,0
PJ Cummins,0
BW Hilfenhaus,0
M Morkel,0
WPUJC Vaas,0
VR Aaron,0
MA Starc,0
PJ Sangwan,0
Kamran Khan,0
Pankaj Singh,0
M Muralitharan,0
KV Sharma,0
YA Abdulla,0
R Rampaul,0
AB Agarkar,0
PP Ojha,0
MG Johnson,0
ST Jayasuriya,0
Iqbal Abdulla,0
Shakib Al Hasan,0
MM Sharma,0
MJ McClenaghan,0
DR Smith,1
J Syed Mohammad,1
V Kohli,1
SB Styris,1
RR Powar,1
VS Malik,1
GH Vihari,1
MC Henriques,1
DT Christian,1
GJ Maxwell,1
S Narwal,1
Anand Rajan,1
VY Mahesh,1
J Theron,1
P Negi,1
S Badree,1
DJ Hussey,1
A Symonds,1
AD Mathews,1
B Akhil,1
AA Chavan,1
A Chandila,1
Shivam Sharma,1
J Yadav,1
Shahid Afridi,1
Mohammad Asif,1
RS Bopara,1
R Sathish,1
STR Binny,1
PC Valthaty,1
JM Kemp,1
CH Morris,1
Karanveer Singh,1
AM Salvi,1
S Aravind,1
Parvez Rasool,1
DJ Muthuswami,1
A Mithun,1
P Parameswaran,1
R Shukla,1
BCJ Cutting,1
JR Hopes,1
BAW Mendis,1
HV Patel,1
AD Mascarenhas,1
Bipul Sharma,1
KW Richardson,1
D Wiese,1
RJ Peterson,1
CR Brathwaite,1
P Suyal,1
Mohammad Hafeez,1
RG Sharma,1
BJ Hodge,1
J Botha,1
CK Langeveldt,1
TA Boult,1
AB McDonald,1
ND Doshi,1
JDP Oram,1
CH Gayle,1
Harmeet Singh,1
JD Unadkat,1
S Gopal,1
AL Menaria,1
DJ Hooda,1
TM Dilshan,1
Ankit Sharma,1
AM Nayar,1
MF Maharoof,1
SM Harwood,1
Azhar Mahmood,1
CRD Fernando,1
AG Murtaza,1
V Pratap Singh,1
AD Russell,1
WA Mota,1
AJ Finch,1
S Kaushik,1
Yuvraj Singh,1
MN Samuels,1
JO Holder,1
