player_name,average
SPD Smith,5.0000
Y Nagar,8.0000
AG Murtaza,11.0000
LR Shukla,12.0000
AUK Pathan,14.0000
AM Nayar,16.0000
AN Ahmed,16.0000
F du Plessis,16.0000
PC Valthaty,16.0000
RG Sharma,16.0000
RN ten Doeschate,20.0000
BJ Hodge,21.0000
GJ Maxwell,21.0000
AL Menaria,23.0000
LJ Wright,24.0000
CL White,25.0000
DJ Harris,26.0000
Y Venugopal Rao,26.0000
NLTC Perera,27.0000
R Shukla,30.0000
DAJ Bracewell,31.0000
A Mithun,32.0000
JD Unadkat,32.0000
RR Powar,32.0000
K Upadhyay,33.0000
RR Bhatkal,35.0000
PJ Sangwan,37.0000
AA Jhunjhunwala,38.0000
Sunny Gupta,45.0000
V Sehwag,45.0000
S Aravind,48.0000
KP Pietersen,49.0000
V Kohli,49.0000
S Dhawan,54.0000
DS Kulkarni,59.0000
RE van der Merwe,59.0000
AB McDonald,60.0000
CJ McKay,60.0000
DJ Hussey,62.0000
J Theron,63.0000
CH Gayle,64.0000
J Syed Mohammad,64.0000
MJ Clarke,67.0000
JD Ryder,68.0000
RJ Peterson,70.0000
JP Faulkner,71.0000
Bipul Sharma,73.0000
TM Dilshan,75.0000
VY Mahesh,76.0000
STR Binny,78.0000
P Parameswaran,85.0000
A Chandila,86.0000
KMDN Kulasekara,90.0000
DR Smith,94.0000
SC Ganguly,94.0000
JP Duminy,98.0000
M de Lange,103.0000
AD Mascarenhas,104.0000
Anand Rajan,104.0000
SK Raina,104.0000
AC Thomas,106.0000
JEC Franklin,119.0000
WD Parnell,124.0000
SW Tait,126.0000
RJ Harris,129.0000
AB Agarkar,130.0000
TP Sudhindra,132.0000
BA Bhatt,135.0000
Iqbal Abdulla,140.0000
KP Appanna,142.0000
L Balaji,151.0000
P Negi,151.0000
DE Bollinger,152.0000
SR Watson,155.0000
AB Dinda,158.0000
AD Russell,159.0000
Ankit Sharma,163.0000
KK Cooper,169.0000
Pankaj Singh,169.0000
YK Pathan,173.0000
Harmeet Singh,184.0000
AD Mathews,189.0000
Shakib Al Hasan,190.0000
MS Gony,200.0000
MN Samuels,211.0000
PP Ojha,211.0000
BW Hilfenhaus,222.0000
DT Christian,226.0000
A Ashish Reddy,229.0000
AA Chavan,230.0000
DL Vettori,233.0000
GB Hogg,245.0000
M Kartik,252.0000
M Muralitharan,255.0000
RA Jadeja,259.0000
VR Aaron,264.0000
B Kumar,265.0000
DW Steyn,275.0000
V Pratap Singh,289.0000
J Botha,292.0000
B Lee,293.0000
R Sharma,298.0000
A Singh,299.0000
RP Singh,303.0000
S Nadeem,313.0000
Azhar Mahmood,316.0000
SP Narine,318.0000
KA Pollard,327.0000
SB Jakati,330.0000
SL Malinga,331.0000
HV Patel,337.0000
P Awana,357.0000
SK Trivedi,358.0000
MM Patel,359.0000
A Mishra,363.0000
Harbhajan Singh,367.0000
JA Morkel,367.0000
R Bhatia,385.0000
JH Kallis,391.0000
A Nehra,399.0000
P Kumar,412.0000
PP Chawla,413.0000
R Ashwin,420.0000
UT Yadav,435.0000
M Morkel,438.0000
DJ Bravo,442.0000
Z Khan,442.0000
IK Pathan,459.0000
R Vinay Kumar,469.0000
