name,runs
A Ashish Reddy,266
A Chandila,4
A Chopra,53
A Flintoff,62
A Kumble,35
A Mishra,291
A Mithun,34
A Mukund,19
A Nehra,41
A Singh,2
A Symonds,974
A Uniyal,4
A Zampa,0
AA Bilakhia,69
AA Chavan,12
AA Jhunjhunwala,217
AA Noffke,9
AB Agarkar,178
AB Barath,42
AB de Villiers,3161
AB Dinda,19
AB McDonald,123
Abdur Razzak,0
AC Blizzard,120
AC Gilchrist,2069
AC Thomas,20
AC Voges,181
AD Mascarenhas,52
AD Mathews,691
AD Nath,20
AD Russell,574
AG Murtaza,10
AG Paunikar,49
AJ Finch,1304
AL Menaria,401
AM Nayar,672
AM Rahane,2529
AN Ahmed,36
AN Ghosh,7
Anirudh Singh,63
Ankit Sharma,62
Anureet Singh,18
AP Dole,34
AP Majumdar,87
AP Tare,321
AR Patel,367
AS Rajpoot,2
AS Raut,173
AT Rayudu,2325
AUK Pathan,39
Azhar Mahmood,388
B Akhil,76
B Chipli,280
B Kumar,154
B Laughlin,4
B Lee,124
B Sumanth,35
BA Bhatt,6
BAW Mendis,3
BB McCullum,2431
BB Samantray,125
BB Sran,4
BCJ Cutting,73
BE Hendricks,1
Bipul Sharma,156
BJ Haddin,18
BJ Hodge,1395
BJ Rohrer,179
BMAJ Mendis,23
BR Dunk,40
C Madan,15
C Munro,30
C Nanda,0
CA Ingram,8
CA Lynn,89
CA Pujara,390
CH Gayle,3356
CH Morris,285
CJ Anderson,379
CJ Ferguson,98
CJ Jordan,3
CJ McKay,8
CK Kapugedera,16
CK Langeveldt,8
CL White,949
CM Gautam,169
CR Brathwaite,83
CRD Fernando,4
D du Preez,10
D Kalyankrishna,3
D Salunkhe,33
D Wiese,116
DA Miller,1426
DA Warner,3339
DAJ Bracewell,12
DB Das,304
DB Ravi Teja,375
DE Bollinger,21
DH Yagnik,170
DJ Bravo,1262
DJ Harris,111
DJ Hooda,276
DJ Hussey,1322
DJ Jacobs,92
DJ Muthuswami,1
DJ Thornely,39
DJG Sammy,295
DL Vettori,121
DNT Zoysa,11
DP Nannes,4
DP Vijaykumar,1
DPMD Jayawardene,1771
DR Martyn,19
DR Smith,2146
DS Kulkarni,89
DS Lehmann,18
DT Christian,341
DT Patil,13
DW Steyn,163
EJG Morgan,789
ER Dwivedi,24
F Behardien,14
F du Plessis,1287
FH Edwards,4
FY Fazal,183
G Gambhir,3589
GB Hogg,22
GC Smith,724
GD McGrath,4
GH Vihari,236
GJ Bailey,663
GJ Maxwell,917
GR Napier,15
Gurkeerat Singh,342
H Das,2
Harbhajan Singh,783
Harmeet Singh,18
Harpreet Singh,20
HH Gibbs,886
HH Pandya,156
HM Amla,157
HV Patel,41
I Malhotra,7
I Sharma,36
IC Pandey,0
IK Pathan,1079
Imran Tahir,18
Iqbal Abdulla,83
IR Jaggi,43
Ishan Kishan,42
J Arunkumar,23
J Botha,409
J Suchith,48
J Syed Mohammad,28
J Theron,10
J Yadav,6
JA Morkel,962
Jaskaran Singh,8
JC Buttler,255
JD Ryder,604
JD Unadkat,2
JDP Oram,106
JDS Neesham,42
JE Taylor,3
JEC Franklin,321
JH Kallis,2414
JJ Bumrah,9
JJ van der Wath,18
JM Kemp,26
JO Holder,38
Joginder Sharma,36
JP Duminy,1926
JP Faulkner,470
JR Hopes,417
K Goel,218
K Upadhyay,12
KA Pollard,1959
KAJ Roach,10
Kamran Akmal,128
Kamran Khan,3
Karanveer Singh,12
KB Arun Karthik,46
KC Cariappa,13
KC Sangakkara,1656
KD Karthik,2515
KH Pandya,237
KJ Abbott,13
KK Cooper,116
KK Nair,842
KL Rahul,713
KM Jadhav,597
KMDN Kulasekara,5
KP Appanna,2
KP Pietersen,1001
KS Williamson,155
KV Sharma,268
KW Richardson,36
L Ablish,0
L Balaji,36
L Ronchi,34
LA Carseldine,81
LA Pomersbach,302
LJ Wright,106
LMP Simmons,942
LPC Silva,40
LR Shukla,386
LRPL Taylor,1017
M Ashwin,0
M de Lange,1
M Kaif,245
M Kartik,111
M Klinger,73
M Manhas,514
M Morkel,126
M Muralitharan,20
M Ntini,11
M Rawat,55
M Vijay,2490
M Vohra,728
MA Agarwal,781
MA Khote,24
MA Starc,96
Mandeep Singh,897
Mashrafe Mortaza,2
MC Henriques,648
MC Juneja,108
MD Mishra,237
MDKJ Perera,14
MEK Hussey,1977
MF Maharoof,177
MG Johnson,118
Misbah-ul-Haq,117
MJ Clarke,98
MJ Guptill,57
MJ Lumb,278
MJ McClenaghan,47
MK Pandey,1800
MK Tiwary,1324
ML Hayden,1074
MM Patel,39
MM Sharma,61
MN Samuels,132
MN van Wyk,167
Mohammad Ashraful,2
